,0,1,2,3,4,5,6,7,8,9,10
4496,Gender,Reproduction,Employment Practice,First Amendment,Fourteenth Amendment,Health,Health Law,Religion,Religious Freedom,Women,
4497,Marriage,Statutes,,,,,,,,,
4498,Health,Race,Equity,Social Justice,,,,,,,
4499,Race,Children,Human Rights,Literature,,,,,,,
4500,Medical Jurisprudence,State Action,Parents,Schools,Race,,,,,,
4501,Organ Donation,Consent,Health Law,States,Property,,,,,,
4502,Civil Rights,Pregnancy,Reproduction,Remedies,War,Women,Appropriations,Family Planning,Medical Jurisprudence,,
4503,Comparative Law,Criminal Law and Procedure,Domestic Relations,Marital Rape,,,,,,,
4504,Abortion,Gender,Health Law,Reproduction,Constitutional Law,Supreme Court of the United States,Family Planning,Medicaid,,,
4505,Gender,Reproduction,Abortion,Family Planning,Health,Public Health,States,,,,
4506,Reproduction,Domestic Relations,Law and Society,Abortion,,,,,,,
4507,Consent,Informed Consent,Health Law,Medical Jurisprudence,Persons,Weapons,,,,,
4508,Medical Jurisprudence,Reproductive Technology,Technology,Industry,Regulation,Sexuality and the Law,Law and Society,Reproduction,,,
4509,,,,,,,,,,,
4510,Domestic Relations,Reproduction,Law and Society,Tourism,,,,,,,
4511,Health,Women,States,,,,,,,,
4512,Drugs,Medical Jurisprudence,Race and Ethnicity,Sentencing,Sex,Aids,Health Law,Law and Society,Women,,
4513,Medical Jurisprudence,Practice and Procedure,Fetuses and Embryos,Criminal Law and Procedure,Human Rights Law,Reproduction,,,,,
4514,Health,Due Process,Abortion,,,,,,,,
4515,Administrative Agencies,Air and Space Law,Maritime Law,Research and Development,Constitutional Law,Criminal Law and Procedure,,,,,
4516,,,,,,,,,,,
4517,Criminal Law and Procedure,Gender,Race and Ethnicity,Sentencing,Legal History,Politics,Food and Drug Law,Law and Society,Taxation-State and Local,,
4518,Abortion,Constitutional Law,First Amendment,Reproduction,Pregnancy,,,,,,
4519,Intellectual Property,Intellectual Property Law,Property,Property Law,Licensing,Remedies,,,,,
4520,Science and Technology,Research,Wind Energy,Economics,International Trade,,,,,,
4521,Intellectual Property Law,Trade Regulation,,,,,,,,,
4522,Intellectual Property Law,Torts,Evidence,Royalties,,,,,,,
4523,Intellectual Property Law,Law and Society,,,,,,,,,
4524,States,Intellectual Property Law,Jurisprudence,Moral Rights of Artists,,,,,,,
4525,Intellectual Property Law,International Trade,Technology,Legislation,States,,,,,,
4526,Economics,Intellectual Property,Property,Human Rights Law,Industry,Intellectual Property Law,Copyright,,,,
4527,Immunity,Intellectual Property Law,Evidence,States,,,,,,,
4528,Research,Research and Development,Contracts,Regulation,,,,,,,
4529,Economics,Antitrust,Remedies,Trade Regulation,Copyright,Patents,Copyrights and Trademarks,Royalties,,,
4530,Evidence,Intellectual Property Law,Attorneys,,,,,,,,
4531,Remedies,Criminal Law and Procedure,Military,War and Peace,Constitutional Law,,,,,,
4532,Courts,Federal Courts,Jurisprudence,Judges,Legal Education,,,,,,
4533,Constitutional Law,Military Law,Commander in Chief,,,,,,,,
4534,Jurisdiction,Military,War and Peace,Sexuality and the Law,Criminal Law and Procedure,Psychiatry and Psychology,,,,,
4535,Courts,Jurisprudence,Conflict of Laws,,,,,,,,
4536,Courts,Administrative Agencies,Judges,Titles,,,,,,,
4537,Detention,Military Law,Due Process,Judicial Review,War,,,,,,
4538,Criminal Law and Procedure,Jurisdiction,Constitutional Law,Judges,State and Local Government Law,,,,,,
4539,Comparative Law,Constitutional Law,Legal History,Habeas Corpus,Remedies,,,,,,
4540,Courts,National Security,Sentencing,Judges,Politics,Supreme Court of the United States,,,,,
4541,Remedies,Jurisdiction,Military,War and Peace,International Law,,,,,,
4542,National Security,Remedies,Immunity,Damages,,,,,,,
4543,Contracts,Government,Constitutional Rights,Law Enforcement,Remedies,,,,,,
4544,Appeals,Courts,Federal Courts,Jurisdiction,,,,,,,
4545,Military Law,Courts,International Law,,,,,,,,
4546,Standing,Jurisdiction,States,Health,Ultra Vires,,,,,,
4547,Constitutional Law,Habeas Corpus,Remedies,Due Process,Fifth Amendment,,,,,,
4548,Constitutional Law,Criminal Law and Procedure,Practice and Procedure,,,,,,,,
4549,Employment Practice,Espionage,National Security,Communications Law,Freedom of the Press,Liability,Democracy,Labor Law,Military,War and Peace,Whistleblowers
4550,National Security,Guardians,Military,War and Peace,,,,,,,
4551,Treaties,Human Rights Law,States,Torture,Criminal Law and Procedure,,,,,,
4552,Courts,Federal Courts,War,Legislation,Politics,Detention,Law and Society,Law Enforcement and Corrections,Military,War and Peace,
4553,National Security,Liability,Employment Practice,,,,,,,,
4554,Detention,Due Process,Military Law,Civil Commitment,Commitment,,,,,,
4555,Practice and Procedure,Criminal Law and Procedure,,,,,,,,,
4556,Jurisdiction,Aliens,Colleges and Universities,Tuition,Race and Ethnicity,,,,,,
4557,Criminal Law and Procedure,Military,War and Peace,Terrorism,Evidence,Jurisdiction,,,,,
4558,Constitutional Law,Courts,Military,War and Peace,Accomplices,History,Legal History,Military Tribunals,War,,
4559,Martial Law,Military Law,Habeas Corpus,President/Executive Department,,,,,,,
4560,Jurisdiction,Military,War and Peace,Courts,Criminal Law and Procedure,,,,,,
4561,Communications Law,Espionage,Freedom of the Press,Liability,National Security,First Amendment,Government,Whistleblowers,,,
4562,Jurisdiction,Criminal Law and Procedure,Constitutional Law,,,,,,,,
4563,Jurisdiction,Courts,Domestic Relations,Domestic Violence,Federal Courts,Violence,Probate,,,,
4564,International Law,Judges,Legal History,Military Law,Constitutional Law,Jurisdiction,Jurisprudence,,,,
4565,Courts,National Security,Detention,President/Executive Department,,,,,,,
4566,Courts,Information Privacy,Terrorism,Law Enforcement and Corrections,Criminal Law and Procedure,,,,,,
4567,Jurisdiction,Military,War and Peace,International Law,Remedies,,,,,,
4568,Aliens,Courts,Property,Civil Rights,War,,,,,,
4569,Fourth Amendment,Law Enforcement,Science and Technology,Data Protection,Law Enforcement and Corrections,,,,,,
4570,Military,War and Peace,Commander in Chief,Military Law,President/Executive Department,Common Law,,,,,
4571,Common Law,Separation,Separation of Powers,Courts,Constitutional Law,Detention,President/Executive Department,,,,
4572,International Law,Judges,President/Executive Department,Constitutional Law,Military,War and Peace,,,,,
4573,Judges,Military,War and Peace,Terrorism,Humanitarian Law,Criminal Law and Procedure,International Law,,,,
4574,Israel,Military,War and Peace,President/Executive Department,War,Courts,Military Law,Military Tribunals,Terrorism,,
4575,Remedies,Military,War and Peace,Criminal Law and Procedure,,,,,,,
4576,Communications Law,Freedom of the Press,First Amendment,,,,,,,,
4577,Constitutional Law,Criminal Law and Procedure,Jurisdiction,Military,War and Peace,,,,,,
4578,Military,War and Peace,Criminal Law and Procedure,International Law,Law Enforcement and Corrections,Sentencing,,,,,
4579,Constitutional Law,Legal History,Military Law,International Law,President/Executive Department,,,,,,
4580,Military,War and Peace,National Security,Constitutional Law,Government,Plaintiffs,States,Judges,Legislation,Politics,Statutory Interpretation
4581,International Law,Comparative Law,Criminal Law and Procedure,Confidential Communications,Electronic Surveillance,Rule of Law,Terrorism,,,,
4582,Criminal Law and Procedure,Human Rights Law,Military,War and Peace,Jurisdiction,,,,,,
4583,Criminal Law and Procedure,Practice and Procedure,Remedies,Sentencing,,,,,,,
4584,Jurisdiction,Justiciability,War,Constitutional Law,Federalism,Standing,States,,,,
4585,Standing,Government,Administrative Agencies,Law Enforcement and Corrections,Military,War and Peace,,,,,
4586,War,Rule of Law,,,,,,,,,
4587,War,Statutory Construction,Judges,Legislation,,,,,,,
4588,Military,War and Peace,International Law,,,,,,,,
4589,International Law,Military,War and Peace,Constitutional Law,Jurisdiction,,,,,,
4590,Practice and Procedure,Remedies,Sentencing,Constitutional Law,Criminal Law and Procedure,,,,,,
4591,Military,War and Peace,Constitutional Law,Criminal Law and Procedure,,,,,,,
4592,Constitutional Law,Immunity,Jurisprudence,Sovereign Immunity,Torts,Bankruptcy,Bankruptcy Law,,,,
4593,Constitutional Law,Criminal Law and Procedure,Military,War and Peace,Remedies,,,,,,
4594,Capacity,Courts,Judges,Legal Analysis and Writing,President/Executive Department,First Amendment,Military,War and Peace,,,
4595,Age,Civil War,War,,,,,,,,
4596,Sentencing,Courts,National Security,Military,War and Peace,Terrorism,Trials,,,,
4597,Criminal Law and Procedure,Science and Technology,Information Privacy,Law Enforcement,Terrorism,Air and Space Law,,,,,
4598,Constitutional Law,Terrorism,War,States,Legislation,,,,,,
4599,Law and Society,Criminal Law and Procedure,Judges,,,,,,,,
4600,Judges,Military,War and Peace,Terrorism,Criminal Law and Procedure,International Law,Fourteenth Amendment,President/Executive Department,,,
4601,,,,,,,,,,,
4602,National Security,Legal Education,,,,,,,,,
4603,Courts,Military Law,Legal Profession,International Law,,,,,,,
4604,Medicaid,Communications Law,Land Use,Remedies,Human Rights,Human Rights Law,,,,,
4605,Criminal Law and Procedure,Law Enforcement and Corrections,Judges,Constitutional Law,Jurisdiction,,,,,,
4606,Criminal Law and Procedure,International Law,Military Law,Practice and Procedure,,,,,,,
4607,Criminal Law and Procedure,Military Law,Law Enforcement,Military,War and Peace,President/Executive Department,,,,,
4608,Judges,Courts,Lobbying,Politics,Professional Ethics,Jurisdiction,,,,,
4609,National Security,Courts,Military,War and Peace,Terrorism,Trials,,,,,
4610,Torture,Human Rights Law,Law and Society,International Law,,,,,,,
4611,Constitutional Law,Practice and Procedure,Standing,Common Law,Consumer Protection Law,Information Privacy,Jurisdiction,,,,
4612,Criminal Law and Procedure,,,,,,,,,,
4613,Criminal Law and Procedure,Judges,Jurisprudence,,,,,,,,
4614,Practice and Procedure,Standing,Constitutional Law,Jurisdiction,,,,,,,
4615,Constitutional Law,Constitutional Rights,Law Enforcement and Corrections,Sentencing,Jury,Victims' Compensation,,,,,
4616,Constitutional Law,Judges,Administrative Agencies,Regulation,Good Faith,,,,,,
4617,Courts,Judges,Organizations,,,,,,,,
4618,Common Law,Jurisdiction,Jurisprudence,,,,,,,,
4619,Criminal Law and Procedure,Constitutional Law,,,,,,,,,
4620,Criminal Law and Procedure,Sentencing,Appellate Review,Judges,Jurisprudence,,,,,,
4621,Criminal Law and Procedure,Sentencing,Age,Controlled Substances,Determinate Sentencing,Drugs,Firearms,Minors,,,
4622,Standing,Civil Procedure,Courts,Jurisdiction,Procedure,State and Local Government Law,Constitutional Law,,,,
4623,Jurisdiction,Constitutional Law,Justiciability,,,,,,,,
4624,Jurisdiction,Separation,Separation of Powers,Standing,Constitutional Law,,,,,,
4625,Sentencing,Criminal Law and Procedure,Psychiatry and Psychology,Labor Law,Practice and Procedure,,,,,,
4626,Air and Space Law,Constitutional Law,Jurisdiction,Privacy,Passengers,Legislation,,,,,
4627,International Agencies,Organizations,Political Crimes,Rent,,,,,,,
4628,Criminal Law and Procedure,Comparative Law,Corporations,Dispute Resolution,Remedies,,,,,,
4629,Remedies,Horses,,,,,,,,,
4630,Standing,Constitutional Law,Practice and Procedure,Privacy,,,,,,,
4631,Constitutional Law,Courts,Judges,Bankruptcy,Jurisdiction,States,,,,,
4632,Courts,Jurisprudence,Appellate Review,Jurisdiction,Practice and Procedure,,,,,,
4633,Criminal Law and Procedure,,,,,,,,,,
4634,Criminal Law and Procedure,Law and Society,,,,,,,,,
4635,Judges,Courts,Law Enforcement and Corrections,Criminal Law and Procedure,,,,,,,
4636,Labor Law,Termination of Employment,Procedure,Legislation,,,,,,,
4637,Legislation,Judicial Review,Insurance,,,,,,,,
4638,Constitutional Law,Politics,President/Executive Department,Separation,Separation of Powers,,,,,,
4639,Administrative Agencies,Environmental Protection,Federalism,Comparative Law,Regulation,Water,,,,,
4640,Gaming,Immunity,American Indians,Sovereign Immunity,Jurisdiction,,,,,,
4641,Constitutional Law,Separation,Separation of Powers,President/Executive Department,Politics,,,,,,
4642,Constitutional Law,Separation,Separation of Powers,Railroads,Transportation,Administrative Agencies,Notice,,,,
4643,Immigration Law,President/Executive Department,International Law,Military,War and Peace,,,,,,
4644,Overtime,Labor,,,,,,,,,
4645,Judicial Review,Administrative Agencies,Notice,Procedure,,,,,,,
4646,Elections,Voting,Children,Education,Public Education,,,,,,
4647,Citizenship,,,,,,,,,,
4648,Standing,Water,Wildlife,Environment,Practice and Procedure,Separation,Separation of Powers,War,,,
4649,Intellectual Property Law,Administrative Agencies,Environmental Protection,Judicial Review,Water,Jurisdiction,States,Wetlands,,,
4650,Due Process,,,,,,,,,,
4651,Administrative Agencies,Judges,Criminal Law and Procedure,Military,War and Peace,,,,,,
4652,Standing,Attorneys,Attorneys General,Constitutional Law,General,Politics,President/Executive Department,,,,
4653,Administrative Agencies,Legislation,Courts,,,,,,,,
4654,Social Security,Women,Discrimination,Gender,Law and Society,Race,Retirement,,,,
4655,Law Reform,Probate,Probate Law,Uniform Probate Code,Estate Planning,Trusts,,,,,
4656,Death,Estate Planning,Taxation-Federal,State and Local Government Law,,,,,,,
4657,State and Local Government Law,Death,Property,Taxation-Federal,,,,,,,
4658,Rule Against Perpetuities,Trusts,States,,,,,,,,
4659,Pensions,Social Security,Employment Practice,Retirement,,,,,,,
4660,Limited Partnerships,Organizations,Partnerships,Liability,Limited Liability Companies,,,,,,
4661,President/Executive Department,Tax Policy,Taxation-Federal,State and Local Government Law,,,,,,,
4662,Banking,Beer,Retirement,Jurisdiction,State and Local Government Law,Death,,,,,
4663,Taxation-Federal,State and Local Government Law,President/Executive Department,Tax Policy,,,,,,,
4664,Race,Retirement,Social Security,Women,Persons,,,,,,
4665,Gifts,Debt,,,,,,,,,
4666,Retirement,Social Security,Women,Marriage,,,,,,,
4667,Disclaimers,Trusts,Gifts,States,,,,,,,
4668,Sales,States,Gifts,Interest,Trusts,Annuities,,,,,
4669,Names,Government,Criminal Statistics,States,Statistics,,,,,,
4670,Human Rights,Comparative Law,Human Rights Law,Obligations,,,,,,,
4671,Social Security,Retirement,,,,,,,,,
4672,Business Organizations,Partnerships,Regulation,Taxation-Federal Income,,,,,,,
4673,Estates and Trusts,Trusts,Estates,Wills,Estate Planning,,,,,,
4674,Taxation-Federal,Credit,,,,,,,,,
4675,Health Law,Insurance Law,Strikes,Government,States,Taxation-Federal Income,,,,,
4676,Bonds,Securities,,,,,,,,,
4677,Social Security,Women,Discrimination,Gender,Law and Society,Race,Retirement,,,,
4678,Liability,Limited Liability Companies,Statute of Limitations,Corporations,,,,,,,
4679,Death,Estate Planning,Taxation-Federal,State and Local Government Law,,,,,,,
4680,State and Local Government Law,Death,Property,Taxation-Federal,,,,,,,
4681,Human Rights,Privacy,Right of Privacy,Economics,Torts,,,,,,
4682,Pensions,Social Security,Employment Practice,Retirement,,,,,,,
4683,Partnerships,Taxation,State and Local Government Law,,,,,,,,
4684,Limited Partnerships,Organizations,Partnerships,Liability,Limited Liability Companies,,,,,,
4685,Business Organizations,Legislation,States,Taxation-Federal,Tax Policy,Partnerships,,,,,
4686,President/Executive Department,Tax Policy,Taxation-Federal,State and Local Government Law,,,,,,,
4687,Banking,Beer,Retirement,Jurisdiction,State and Local Government Law,Death,,,,,
4688,Partnerships,Regulation,Liability,Limited Liability Companies,,,,,,,
4689,Partnerships,Sales,Property,Corporations,,,,,,,
4690,Race,Retirement,Social Security,Women,Persons,,,,,,
4691,Gifts,Debt,,,,,,,,,
4692,Taxation,Money,Politics,,,,,,,,
4693,Retirement,Social Security,Women,Marriage,,,,,,,
4694,Partnerships,,,,,,,,,,
4695,Corporations,Taxation-Federal Income,Judges,Legal History,Taxation,,,,,,
4696,Legislation,Corporations,Social Welfare Law,Congress,Taxation,,,,,,
4697,Interest,Taxation,,,,,,,,,
4698,Bail,Statute of Limitations,Property,Taxation,,,,,,,
4699,Partnerships,Taxation,,,,,,,,,
4700,Social Security,Retirement,,,,,,,,,
4701,Debt,Equity,Lumber,Congress,Corporations,Securities,Statute of Limitations,,,,
4702,Corporations,Regulation,,,,,,,,,
4703,Business Organizations,Medicare,Social Security,Treaties,History,Legislative History,,,,,
4704,Business Organizations,Partnerships,Regulation,Taxation-Federal Income,,,,,,,
4705,Corporations,Regulation,Incorporation,,,,,,,,
4706,Partnerships,Taxation,,,,,,,,,
4707,Taxation-Federal,Credit,,,,,,,,,
4708,Health Law,Insurance Law,Strikes,Government,States,Taxation-Federal Income,,,,,
4709,Partnerships,Taxation,,,,,,,,,
4710,Women,Retirement,Social Security,Marriage,,,,,,,
4711,Food and Drug Law,Fraud,Government Contracts,Privatization,False Claims,Guardians,Practice and Procedure,,,,
4712,Criminal Law and Procedure,Health Law,Government Contracts,,,,,,,,
4713,Administrative Agencies,Costs,Courts,Employment,Health,Health Insurance,Health Law,Insurance,Labor Law,Government,
4714,Evidence,Federalism,Health,Medicaid,Public Health,States,Long-Term Care,Managed Care,,,
4715,Antitrust,Hospitals,Immunity,Medical Jurisprudence,Mergers,Trade Regulation,Health Law,Health,,,
4716,Consent,Informed Consent,Race,Religion,Insurance,Medical Jurisprudence,Physicians,,,,
4717,Death,Living Wills,Guardianship,,,,,,,,
