Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
The Federalism Implications of Campaign Finance Regulation [comments],Franita Tolson,"Tolson, Franita (Cited 149 times)","University of Pennsylvania Law Review Online, Vol. 164, pp. 247-252","University of Pennsylvania Law Review Online, ",Vol.  164,na,247-252,164 U. Pa. L. Rev. Online 247 (2015-2016),1,na,7,"Campaign Finance, Federalism, Regulation, Democracy, First Amendment, Politics",4685
Increasing the Quantity and the Quality of the African-American Vote: Lessons for 2008 and Beyond [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Berkeley Journal of African-American Law & Policy, Vol. 10, Issue 2 (2008), pp. 313-350","Berkeley Journal of African-American Law & Policy, ",Vol.  10,2 (2008),313-350,10 Berkeley J. Afr.-Am. L. & Pol'y 313 (2008),1,na,6,"Race, Democracy, Identification, Politics, Voting",4685
Second-Order Diverse in Name Only: Sovereign Authority in Disaggregated Institutions [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Tulsa Law Review, Vol. 48, Issue 3 (Spring 2013), pp. 455-476","Tulsa Law Review, ",Vol.  48,3 (Spring 2013),455-476,48 Tulsa L. Rev. 455 (2012-2013),1,na,5,"Law and Society, Politics, Federalism, Democracy",4685
The Spectrum of Congressional Authority over Elections [article],Franita Tolson,"Tolson, Franita (Cited 149 times)","Boston University Law Review, Vol. 99, Issue 2 (March 2019), pp. 317-394","Boston University Law Review, ",Vol.  99,2 (March 2019),317-394,99 B.U. L. Rev. 317 (2019),na,na,7,"Elections, Federalism, Sovereignty, Voting",4685
Symposium - The Law of Democracy at a Crossroads: Reflecting on Fifty Years of Voting Rights and the Judicial Regulation of the Political Thicket: Introduction [comments],Franita Tolson,"Tolson, Franita (Cited 149 times)","Florida State University Law Review, Vol. 43, Issue 2 (Winter 2016), pp. 345-352","Florida State University Law Review, ",Vol.  43,2 (Winter 2016),345-352,43 Fla. St. U. L. Rev. 345 (2015-2016),na,na,5,"Fourteenth Amendment, Politics, Voting",4685
The Siskel and Ebert of Financial Markets: Two Thumbs Down for the Credit rating Agencies [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Washington University Law Quarterly, Vol. 77, Issue 3 (Fall 1999), pp. 619-712","Washington University Law Quarterly, ",Vol.  77,3 (Fall 1999),619-712,77 Wash. U. L. Q. 619 (1999),169,3,195,"Credit, Agency, Securities, Banking and Finance, Securities Law",6118
The Promise and Perils of Credit Derivatives [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times); Skeel, David A. Jr. (Cited 1921 times)","University of Cincinnati Law Review, Vol. 75, Issue 3 (Spring 2007), pp. 1019-1052","University of Cincinnati Law Review, ",Vol.  75,3 (Spring 2007),1019-1052,75 U. Cin. L. Rev. 1019 (2006-2007),146,na,141,"Credit, Banking, Insurance",6118
Barbarians at the Gatekeepers: A Proposal for a Modified Strict Liability Regime [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Washington University Law Quarterly, Vol. 79, Issue 2 (2001), pp. 491-548","Washington University Law Quarterly, ",Vol.  79,2 (2001),491-548,79 Wash. U. L. Q. 491 (2001),90,3,23,"Liability, Strict Liability, Consumer Protection Law, Whistleblowers",6118
Financial Derivatives and the Costs of Regulatory Arbitrage [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Journal of Corporation Law, Vol. 22, Issue 2 (Winter 1997), pp. 211-256","Journal of Corporation Law, ",Vol.  22,2 (Winter 1997),211-256,22 J. Corp. L. 211 (1996-1997),81,na,100,"Costs, Securities, Contracts",6118
Encumbered Shares [article],Frank Partnoy,"Martin, Shaun (Cited 93 times); Partnoy, Frank (Cited 839 times)","University of Illinois Law Review, Vol. 2005, Issue 3 (2005), pp. 775-814","University of Illinois Law Review, ",Vol.  2005,3 (2005),775-814,2005 U. Ill. L. Rev. 775 (2005),70,2,49,"Corporations, Voting, Age, Computer Law, Internet, Proxies",6118
A Revisionist View of Enron and the Sudden Death of May [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Villanova Law Review, Vol. 48, Issue 4 (2003), pp. 1245-1280","Villanova Law Review, ",Vol.  48,4 (2003),1245-1280,48 Vill. L. Rev. 1245 (2003),34,na,6,"Administration Law, Death, Banking, Corporations, Accounting, Government, Securities",6118
Why Markets Crash and What Law Can Do about It [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","University of Pittsburgh Law Review, Vol. 61, Issue 3 (Spring 2000), pp. 741-818","University of Pittsburgh Law Review, ",Vol.  61,3 (Spring 2000),741-818,61 U. Pitt. L. Rev. 741 (1999-2000),33,na,27,"Economics, Securities, Insider Trading, Liability, Sentencing, Equity",6118
Credit Default Swap Spreads as Viable Substitutes for Credit Ratings [article],Frank Partnoy,"Flannery, Mark J. (Cited 33 times); Houston, Joel F. (Cited 33 times); Partnoy, Frank (Cited 839 times)","University of Pennsylvania Law Review, Vol. 158, Issue 7 (June 2010), pp. 2085-2124","University of Pennsylvania Law Review, ",Vol.  158,7 (June 2010),2085-2124,158 U. Pa. L. Rev. 2085 (2009-2010),33,na,37,"Credit, Securities",6118
The Shifting Contours of Global Derivatives Regulation [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","University of Pennsylvania Journal of International Economic Law, Vol. 22, Issue 3 (Fall 2001), pp. 421-496","University of Pennsylvania Journal of International Economic Law, ",Vol.  22,3 (Fall 2001),421-496,22 U. Pa. J. Int'l Econ. L. 421 (2001),28,na,13,"Regulation, Securities, South Africa, Banking",6118
Strict Liability for Gatekeepers: A Reply to Professor Coffee [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Boston University Law Review, Vol. 84, Issue 2 (April 2004), pp. 365-376","Boston University Law Review, ",Vol.  84,2 (April 2004),365-376,84 B.U. L. Rev. 365 (2004),27,2,22,"Liability, Strict Liability, Consumer Protection Law, Whistleblowers",6118
Adding Derivatives to the Corporate Law Mix [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Georgia Law Review, Vol. 34, Issue 2 (Winter 2000), pp. 599-630","Georgia Law Review, ",Vol.  34,2 (Winter 2000),599-630,34 Ga. L. Rev. 599 (1999-2000),23,na,10,"Economics, Regulation, Securities",6118
Synthetic Common Law [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","University of Kansas Law Review, Vol. 53, Issue 2 (January 2005), pp. 281-340","University of Kansas Law Review, ",Vol.  53,2 (January 2005),281-340,53 U. Kan. L. Rev. 281 (2004-2005),18,na,6,"Common Law, Contracts, Jurisprudence, Regulation, Securities, Judges",6118
"Historical Perspectives on the Financial Crisis: Ivar Krueger, the Credit-Rating Agencies, and Two Theories about the Function, and Dysfunction, of Markets [comments]",Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Yale Journal on Regulation, Vol. 26, Issue 2 (Summer 2009), pp. 431-444","Yale Journal on Regulation, ",Vol.  26,2 (Summer 2009),431-444,26 Yale J. on Reg. 431 (2009),17,na,37,"Credit, Banking and Finance, Securities Law, Environment",6118
Financial Innovation in Corporate Law [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Journal of Corporation Law, Vol. 31, Issue 3 (Spring 2006), pp. 799-828","Journal of Corporation Law, ",Vol.  31,3 (Spring 2006),799-828,31 J. Corp. L. 799 (2005-2006),14,na,29,"Contracts, Creditors, Death, Banking, Economics, Securities",6118
Second-Order Benefits from Standards [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Boston College Law Review, Vol. 48, Issue 1 (January 2007), pp. 169-192","Boston College Law Review, ",Vol.  48,1 (January 2007),169-192,48 B.C. L. Rev. 169 (2007),12,na,4,"Credit, Economics, Interest, Marketing",6118
Don't Blink: Snap Decisions and Securities Regulation [comments],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Brooklyn Law Review, Vol. 77, Issue 1 (Fall 2011), pp. 151-180","Brooklyn Law Review, ",Vol.  77,1 (Fall 2011),151-180,77 Brook. L. Rev. 151 (2011-2012),9,na,15,"Regulation, Securities, States",6118
Multinational Regulatory Competition and Single-Stock Futures [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Northwestern Journal of International Law & Business, Vol. 21, Issue 3 (Spring 2001), pp. 641-656","Northwestern Journal of International Law & Business, ",Vol.  21,3 (Spring 2001),641-656,21 Nw. J. Int'l L. & Bus. 641 (2000-2001),7,na,1,"Futures, International Trade, Insider Trading, Regulation, Securities",6118
What's (Still) Wrong with Credit Ratings [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Washington Law Review, Vol. 92, Issue 3 (October 2017), pp. 1407-1472","Washington Law Review, ",Vol.  92,3 (October 2017),1407-1472,92 Wash. L. Rev. 1407 (2017),5,na,83,"Banking and Finance, Credit, Securities Law",6118
The Right Way to Regulate from behind [comments],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","North Carolina Banking Institute, Vol. 18, Issue 1 (November 2013), pp. 113-122","North Carolina Banking Institute, ",Vol.  18,1 (November 2013),113-122,18 N.C. Banking Inst. 113 (2013-2014),4,na,4,"Regulation, Jurisprudence",6118
Shapeshifting Corporations [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","University of Chicago Law Review, Vol. 76, Issue 1 (Winter 2009), pp. 261-288","University of Chicago Law Review, ",Vol.  76,1 (Winter 2009),261-288,76 U. Chi. L. Rev. 261 (2009),4,na,5,"Corporations, Bankruptcy Law, Sovereignty",6118
The Timing and Source of Regulation [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Seattle University Law Review, Vol. 37, Issue 2 (Winter 2014), pp. 423-434","Seattle University Law Review, ",Vol.  37,2 (Winter 2014),423-434,37 Seattle U. L. Rev. 423 (2013-2014),2,na,9,"Jurisprudence, Regulation, Banking, Economics",6118
Specificity and Time Horizons [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Seattle University Law Review, Vol. 41, Issue 2 (Winter 2018), pp. 525-542","Seattle University Law Review, ",Vol.  41,2 (Winter 2018),525-542,41 Seattle U. L. Rev. 525 (2017-2018),1,na,13,"Banking and Finance, Business Organizations, Economics, Liability, Investment",6118
Corporations and Human Life [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Seattle University Law Review, Vol. 40, Issue 2 (Winter 2017), pp. 399-426","Seattle University Law Review, ",Vol.  40,2 (Winter 2017),399-426,40 Seattle U. L. Rev. 399 (Winter 2017),1,na,14,"Corporations, Liberty, Religion, Sexual Orientation, Discrimination, Employment, Employment Discrimination, Employment Practice, Religious Discrimination",6118
"The Match King, Chapter 9: The Author's Cut [article]",Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Michigan State Law Review, Vol. 2009, Issue 4 (Winter 2009), pp. 1207-1238","Michigan State Law Review, ",Vol.  2009,4 (Winter 2009),1207-1238,2009 Mich. St. L. Rev. 1207 (2009),1,na,3,"Credit, Community Property, Property, Securities",6118
Webber's Best Weapon: Working-Class Shareholders as David to Corporate Management's Goliath [reviews],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Boston University Law Review, Vol. 99, Issue 1 (January 2019), pp. 291-302","Boston University Law Review, ",Vol.  99,1 (January 2019),291-302,99 B.U. L. Rev. 291 (2019),na,na,9,"Labor, Regulation, Evidence",6118
Law and the Theory of Fields [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Seattle University Law Review, Vol. 39, Issue 2 (Winter 2016), pp. 579-592","Seattle University Law Review, ",Vol.  39,2 (Winter 2016),579-592,39 Seattle U. L. Rev. 579 (2015-2016),na,na,27,"Benefit Corporations, Corporations, Economics, Jurisprudence, Law and Society, Nonprofit Organizations, Organizations",6118
Berle and Corporation Finance: Everything Old Is New Again [article],Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Seattle University Law Review, Vol. 42, Issue 2 (Winter 2019), pp. 499-512","Seattle University Law Review, ",Vol.  42,2 (Winter 2019),499-512,42 Seattle U. L. Rev. 499 (2018-2019),na,na,na,na,6118
"The Law of Two Prices: Regulatory Arbitrage, Revisited [article]",Frank Partnoy,"Partnoy, Frank (Cited 839 times)","Georgetown Law Journal, Vol. 107, Issue 4 (April 2019), pp. 1017-1044","Georgetown Law Journal, ",Vol.  107,4 (April 2019),1017-1044,107 Geo. L.J. 1017 (2018-2019),na,na,na,na,6118
The Scored Society: Due Process for Automated Predictions [article],Frank Pasquale,"Citron, Danielle Keats (Cited 1093 times); Pasquale, Frank (Cited 711 times)","Washington Law Review, Vol. 89, Issue 1 (March 2014), pp. 1-34","Washington Law Review, ",Vol.  89,1 (March 2014),Jan-34,89 Wash. L. Rev. 1 (2014),117,na,590,"Banking, Bankruptcy Law, Consumer Protection Law, Due Process, Jurisprudence, Discrimination, Information Privacy, Law and Society, Race and Ethnicity",7891
"Federal Search Commission - Access, Fairness, and Accountability in the Law of Search [article]",Frank Pasquale,"Bracha, Oren (Cited 356 times); Pasquale, Frank (Cited 711 times)","Cornell Law Review, Vol. 93, Issue 6 (September 2008), pp. 1149-1210","Cornell Law Review, ",Vol.  93,6 (September 2008),1149-1210,93 Cornell L. Rev. 1149 (September 2008),116,6,76,"Communications Law, First Amendment, Intellectual Property Law, Science and Technology",7891
Beyond Innovation and Competition: The Need for Qualified Transparency in Internet Intermediaries [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Northwestern University Law Review, Vol. 104, Issue 1 (2010), pp. 105-174","Northwestern University Law Review, ",Vol.  104,1 (2010),105-174,104 Nw. U. L. Rev. 105 (2010),63,na,82,"Communications Law, Economics, Internet, Trade Regulation, Liability, Industry",7891
Network Accountability for the Domestic Intelligence Apparatus [article],Frank Pasquale,"Citron, Danielle Keats (Cited 1093 times); Pasquale, Frank (Cited 711 times)","Hastings Law Journal, Vol. 62, Issue 6 (2010-2011), pp. 1441-1494","Hastings Law Journal, ",Vol.  62,6 (2010-2011),1441-1494,62 Hastings L.J. 1441 (2010-2011),52,na,46,"Administration Law, Criminal Law and Procedure, Military, War and Peace, Law Enforcement and Corrections",7891
Beyond Napster: Using Antitrust Law to Advance and Enhance Online Music Distribution [article],Frank Pasquale,"Fagin, Matthew (Cited 67 times); Pasquale, Frank (Cited 711 times); Weatherall, Kim (Cited 51 times)","Boston University Journal of Science & Technology Law, Vol. 8, Issue 2 (2002), pp. 451-573","Boston University Journal of Science & Technology Law, ",Vol.  8,2 (2002),451-573,8 B.U. J. Sci. & Tech. L. 451 (2002),51,na,19,"Antitrust, Computer Law, Music, Trade Regulation, European Union, States, Age, Copyright",7891
"Rankings, Reductionism, and Responsibility [article]",Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Cleveland State Law Review, Vol. 54, Numbers 1 & 2 (2006), pp. 115-140","Cleveland State Law Review, ",Vol.  54,na,115-140,54 Clev. St. L. Rev. 115 (2006),39,na,25,"Communications Law, Intellectual Property Law, Regulation, First Amendment, Science and Technology",7891
Reclaiming Egalitarianism in the Political Theory of Campaign Finance Reform [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","University of Illinois Law Review, Vol. 2008, Issue 2 (2008), pp. 599-660","University of Illinois Law Review, ",Vol.  2008,2 (2008),599-660,2008 U. Ill. L. Rev. 599 (2008),34,5,16,Campaign Finance,7891
Internet Nondiscrimination Principles: Commercial Ethics for Carriers and Search Engines [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","University of Chicago Legal Forum, Vol. 2008, pp. 263-300","University of Chicago Legal Forum, ",Vol.  2008,na,263-300,2008 U. Chi. Legal F. 263 (2008),24,na,27,"Carriers, Ethics, Internet, Communications Law, Intellectual Property Law, Regulation, Antitrust, Neutrality",7891
Grand Bargains for Big Data: The Emerging Law of Health Information [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Maryland Law Review, Vol. 72, Issue 3 (2013), pp. 682-772","Maryland Law Review, ",Vol.  72,3 (2013),682-772,72 Md. L. Rev. 682 (2013),22,na,58,"Health, Age, Privacy",7891
Asterisk Revisited: Debating a Right of Reply on Search Results [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Journal of Business & Technology Law, Vol. 3, Issue 1 (2008), pp. 61-86","Journal of Business & Technology Law, ",Vol.  3,1 (2008),61-86,3 J. Bus. & Tech. L. 61 (2008),17,na,15,"Carriers, Ethics, Internet, Communications Law, Intellectual Property Law, Regulation, First Amendment",7891
Breaking the Vicious Circularity: Sony's Contribution to the Fair Use Doctrine [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Case Western Reserve Law Review, Vol. 55, Issue 4 (Summer 2005), pp. 777-814","Case Western Reserve Law Review, ",Vol.  55,4 (Summer 2005),777-814,55 Case W. Res. L. Rev. 777 (2004-2005),15,na,3,"Intellectual Property Law, Age, Copyright, Music, Courts, Evidence, Licensing",7891
Protecting Health Privacy in an Era of Big Data Processing and Cloud Computing [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times); Ragone, Tara Adams (Cited 28 times)","Stanford Technology Law Review, Vol. 17, pp. 595-654","Stanford Technology Law Review, ",Vol.  17,na,595-654,17 Stan. Tech. L. Rev. 595 (2013-2014),14,na,43,"Cloud Computing, Health, Privacy",7891
Restoring Transparency to Automated Authority [article],Frank Pasquale,"Pasquale, Frank (Cited 711 times)","Journal on Telecommunications & High Technology Law, Vol. 9, Issue 1 (2011), pp. 235-254","Journal on Telecommunications & High Technology Law, ",Vol.  9,1 (2011),235-254,9 J. on Telecomm. & High Tech. L. 235 (2011),12,na,79,"Banking, Intellectual Property Law, Comparative and Foreign Law, International Law",7891
